time,command,ambient_temp,room_temp,humidity,energy,total_energy,reason
2019-11-01 05:00:09.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:14.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:19.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:24.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:29.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:34.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:39.189,off,25.2,25.2,59.5,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:44.189,off,24.25,25.12,61.4,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:49.189,off,24.25,25.05,61.4,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:54.189,off,24.57,24.97,60.77,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:00:59.189,off,24.57,24.9,60.77,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:04.189,off,24.22,24.82,61.38,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:09.189,off,24.22,24.75,61.38,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:14.189,off,24.22,24.67,61.38,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:19.189,off,24.22,24.6,61.38,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:24.189,off,24.42,24.53,60.98,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:29.189,off,24.42,24.53,60.98,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:34.189,off,24.25,24.46,61.37,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:39.189,off,24.25,24.38,61.37,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:44.189,off,24.37,24.46,61.1,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:49.189,off,24.37,24.53,61.1,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:54.189,off,24.29,24.46,61.0,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:01:59.189,off,24.29,24.38,61.0,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:02:04.189,off,24.29,24.31,61.0,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:02:09.189,off,24.39,24.38,60.83,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:02:14.189,off,24.39,24.46,60.83,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:02:19.189,off,24.39,24.53,60.83,0.0,0.0,Passive simulation (no HVAC)
2019-11-01 05:02:24.189,off,24.39,24.61,60.83,0.0,0.0,Passive simulation (no HVAC)
